BoroCode,Block,Lot,Address,CT2010,CB2010,NumBldgs,NumFloors,BldgArea,BldgDepth,BldgFront,BldgClass,LotArea,LotDepth,LotFront,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,IrrLotCode,LandUse,FAR,MaxAllwFAR,CornerLot,LotType,ZoneDist,ZoneDist2,ZoneDist3,ZoneDist4,Overlay,Year,PlutoVer,FAR_bar,AtticAllowance,IHBonus,OverlayBonus,ComFacilFAR,FAR_bar_attic,FAR_bar_ih,FAR_bar_overlay,FAR_bar_attic_overlay,FAR_bar_ih_overlay,FAR_bar_attic_com,FAR_bar_ih_com,FAR_bar_overlay_com,FAR_bar_ih_overlay_com,FAR_ratio,YQ_redev,FAR_prev,YearBuilt_prev,NewBldg
4,6712,81,152-11 UNION TURNPIKE,779.04,2006,1.0,4.0,40200,65.0,150.0,D6,20246,98.67,200.0,10200,30000,10200,0,0,0,0,30.0,34,2004,,,false,4,1.99,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,2.2111111111111112,2005,0.08,1954,1
4,6895,12,61-43 167 STREET,1223.0,1004,1.0,3.0,1800,33.33,18.0,B1,2600,100.0,26.0,0,1800,0,0,0,0,0,2.0,2,2004,,,false,1,0.69,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.7666666666666666,2005,0.26,1920,1
4,7490,54,221-84 GARLAND DRIVE,1385.01,1010,1.0,2.0,2760,60.0,22.0,C0,3000,100.0,30.0,0,2760,0,0,0,0,0,3.0,3,2004,,,false,2,0.92,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0222222222222221,2005,0.4,1960,1
3,4290,10,441 FORBELL STREET,1208.0,5005,1.0,2.0,2266,55.0,21.0,B2,3131,100.0,28.06,0,2266,0,0,0,0,0,2.0,2,2005,,,true,1,0.72,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.7999999999999999,2006,1.0,2005,0
3,8302,10,9901 SEAVIEW AVENUE,1022.0,1006,1.0,3.0,2175,25.0,29.0,B1,1950,50.0,39.0,0,2175,0,0,0,0,0,2.0,2,2005,,,false,1,1.12,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2444444444444445,2006,0.21,1920,1
2,4059,5,1570B BOGART AVENUE,244.0,2007,1.0,3.0,2896,63.95,16.87,C0,2389,97.97,25.46,0,2896,0,0,0,0,0,3.0,3,2005,,,true,2,1.21,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.3444444444444443,2006,0.25,1930,1
2,5031,54,4250 MONTICELLO AVENUE,448.0,1000,1.0,2.0,1870,45.0,21.0,B1,2431,97.25,25.0,0,1870,0,0,0,0,0,2.0,2,2005,,,false,1,0.77,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.8555555555555555,2006,0.33,1925,1
4,966,32,70-01 DITMARS BOULEVARD,317.0,4012,1.0,3.0,4100,40.0,35.0,B1,4999,92.0,50.0,0,4100,0,0,0,0,0,2.0,2,2004,,,true,1,0.82,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.911111111111111,2006,0.9,2004,0
4,967,15,21-30 72 STREET,317.0,4011,1.0,3.0,2700,40.0,22.0,C0,3000,100.0,30.0,0,2700,0,0,0,0,0,3.0,3,2004,,,false,2,0.9,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0,2006,0.51,1930,1
4,2900,19,84-40 60 ROAD,505.0,1009,1.0,3.0,3210,45.0,20.0,C0,2000,100.0,20.0,0,3210,0,0,0,0,0,3.0,3,2005,,,false,2,1.61,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.788888888888889,2006,0.88,1930,1
4,2919,42,60-40 82 STREET,507.0,2003,1.0,3.0,4800,41.0,30.0,S2,3241,114.0,61.67,2300,2500,1800,0,0,500,0,2.0,3,2007,,,true,4,1.48,0.9,,3,R4,,,,C1-2,2017,21,0.75,0.15,0.0,1.0,2.0,0.9,0.75,1.75,1.9,1.75,2.9,2.75,3.75,3.75,1.6444444444444444,2006,0.33,1950,1
4,6354,4,130-04 58 ROAD,803.01,2001,1.0,3.0,1770,22.0,23.8,B1,1683,40.0,36.65,0,1770,0,0,0,0,0,2.0,2,2005,,,true,1,1.05,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.1666666666666667,2006,0.32,1940,1
4,6754,50,61-41 159 STREET,1227.01,1005,1.0,3.0,3744,50.0,25.0,C0,4000,100.0,40.0,0,3744,0,0,0,0,0,3.0,3,2004,,,false,2,0.94,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0444444444444443,2006,0.28,1945,1
4,6897,1,61-52 170 STREET,1223.0,1006,1.0,3.0,3402,21.0,54.0,C0,4000,100.0,40.0,0,3402,0,0,0,0,0,3.0,3,2004,,,false,2,0.85,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.9444444444444444,2006,0.4,1930,1
4,7313,43,211-35 45 ROAD,1447.0,1000,1.0,3.0,3375,32.0,25.0,C0,2767,100.0,27.67,0,3375,0,0,0,0,0,3.0,3,2005,,,false,2,1.22,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.3555555555555554,2006,0.13,1960,1
4,7608,39,61-45 218 STREET,1367.0,1002,1.0,3.0,3432,52.0,22.0,C0,3000,100.0,30.0,0,3432,0,0,0,0,0,3.0,3,2005,,,false,2,1.14,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2666666666666666,2006,0.26,1930,1
3,6430,46,182 BAY 13 STREET,174.0,2000,1.0,3.0,4071,59.0,23.0,C0,2492,108.33,23.0,0,4071,0,0,0,0,0,3.0,3,2004,,,false,2,1.63,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.811111111111111,2007,0.29,1925,1
3,7364,64,2125 HARING STREET,570.0,4004,1.0,3.0,3855,55.0,20.0,C3,2800,100.0,28.0,0,3855,0,0,0,0,0,4.0,4,2006,,,false,2,1.38,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.5333333333333332,2007,0.3,1940,1
2,4557,51,2933 LACONIA AVENUE,344.0,2009,1.0,3.0,2728,52.0,16.75,C0,2500,100.0,25.0,0,2728,0,0,0,0,0,3.0,3,2006,,,false,2,1.09,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2111111111111112,2007,0.34,1930,1
2,4682,56,942 EAST 212 STREET,368.0,2001,1.0,3.0,3009,50.0,20.0,C0,2810,112.42,25.0,0,3009,0,0,0,0,0,3.0,3,2006,,,false,2,1.07,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.1888888888888889,2007,0.3,1901,1
2,4687,65,3713 PAULDING AVENUE,388.0,2002,1.0,3.0,2640,19.51,42.75,C0,1979,37.51,52.75,0,2640,0,0,0,0,0,3.0,3,2006,,,false,2,1.33,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.4777777777777779,2007,0.32,1910,1
2,5825,1502,5102 POST ROAD,351.0,3004,1.0,3.0,3738,59.0,21.0,C0,7619,101.58,75.0,0,3738,0,0,0,0,0,3.0,3,2005,,,false,2,0.49,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.5444444444444444,2007,0.29,1910,1
4,1514,25,41-38 GLEANE STREET,271.0,3000,1.0,3.0,2595,51.81,18.17,C0,1817,100.0,18.17,0,2595,0,0,0,0,0,3.0,3,2006,,,false,2,1.43,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.5888888888888888,2007,0.65,1915,1
4,2812,53,73-26 QN MIDTOWN EP SR S,495.0,1004,1.0,3.0,3162,32.0,34.0,C0,2652,69.31,52.0,0,3162,0,0,0,0,0,3.0,3,2006,,,true,2,1.19,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.3222222222222222,2007,0.36,1960,1
4,3162,9,67-08 EXETER STREET,709.0,1006,1.0,3.0,2593,36.9,33.1,C0,2168,69.99,61.93,0,2593,0,0,0,0,0,3.0,3,2006,,,false,2,1.2,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.3333333333333333,2007,0.22,1935,1
4,5118,4,134-13 BOOTH MEMORIAL AVE,799.0,2002,1.0,3.0,3450,61.0,22.0,B1,2518,95.34,31.75,0,3450,0,0,0,0,0,2.0,2,2003,,,true,1,1.37,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.5222222222222224,2007,0.31,2001,1
4,5130,5,137-11 56 AVENUE,799.0,1001,1.0,3.0,3455,52.0,21.33,C0,2933,100.0,29.33,0,3455,0,0,0,0,0,3.0,3,2005,,,false,2,1.18,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.3111111111111111,2007,0.53,1925,1
4,6899,1,61-52 172 STREET,1223.0,1008,1.0,2.0,1760,22.0,40.0,B1,2000,40.0,50.0,0,1760,0,0,0,0,0,2.0,2,2005,,,false,1,0.88,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.9777777777777777,2007,0.32,1950,1
4,9362,52,89-50 134 STREET,142.02,1009,1.0,3.0,3525,48.0,12.0,C0,3760,94.0,40.0,0,3525,0,0,0,0,0,3.0,3,2006,,,false,2,0.94,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0444444444444443,2007,0.44,1925,1
